DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"66978",66978,Mk10,DS,6,0,1,89,89,01:16:42 03-May-2014,P,2,61.81972122,-178.00833130,,,,,401677207,,
"66978",66978,Mk10,DS,7,0,1,89,89,02:27:10 03-May-2014,N,1,61.82805634,-178.01499939,,,,,401677216,,
"66978",66978,Mk10,DS,3,0,1,89,89,02:52:23 03-May-2014,K,A,61.82389069,-178.04527283,,,,,401677229,,
"66978",66978,Mk10,DS,1,0,0,,,03:16:07 03-May-2014,L,B,61.82361221,-178.04556274,,,,,401677218,,
"66978",66978,Mk10,DS,1,0,0,,,03:53:12 03-May-2014,A,B,61.81972122,-178.05528259,,,,,401677230,,
"66978",66978,Mk10,DS,3,0,0,89,89,04:12:29 03-May-2014,N,A,61.83333206,-178.03971863,,,,,401677239,,
"66978",66978,Mk10,DS,6,0,0,89,89,04:35:28 03-May-2014,K,3,61.83361053,-178.05194092,,,,,401677242,,
"66978",66978,Mk10,DS,1,0,0,,,04:55:30 03-May-2014,L,B,61.83305740,-178.04804993,,,,,401677252,,
"66978",66978,Mk10,DS,4,0,2,118,89,05:32:35 03-May-2014,A,2,61.84055710,-178.06111145,,,,,401677263,,
"66978",66978,Mk10,DS,5,0,2,111,89,05:52:09 03-May-2014,R,3,61.84166718,-178.06056213,,,,,401677266,,
"66978",66978,Mk10,DS,2,0,0,267,267,06:16:20 03-May-2014,K,B,61.84000015,-178.05610657,,,,,401677273,,
"66978",66978,Mk10,DS,4,0,2,129,89,06:23:11 03-May-2014,B,2,61.83333206,-178.08082581,,,,,401677277,,
"66978",66978,Mk10,DS,1,0,0,,,06:31:25 03-May-2014,L,B,61.83333206,-178.08332825,,,,,401677294,,
"66978",66978,Mk10,DS,3,0,1,317,314,07:04:22 03-May-2014,A,A,61.84555435,-178.05499268,,,,,401677316,,
"66978",66978,Mk10,DS,1,0,1,,,07:32:49 03-May-2014,R,B,61.84888840,-178.05332947,,,,,401677314,,
"66978",66978,Mk10,DS,1,0,0,,,08:03:49 03-May-2014,B,B,61.85194397,-178.05250549,,,,,401677313,,
"66978",66978,Mk10,DS,3,0,0,121,97,09:13:08 03-May-2014,R,A,61.84805679,-178.01916504,,,,,401677318,,
"66978",66978,Mk10,DS,1,0,0,,,09:45:27 03-May-2014,B,B,61.84860992,-178.05332947,,,,,401677311,,
"66978",66978,Mk10,DS,5,0,1,107,43,09:49:48 03-May-2014,L,3,61.84083176,-178.00500488,,,,,401677311,,
"66978",66978,Mk10,DS,6,0,1,89,89,10:28:45 03-May-2014,A,2,61.84611130,-178.01110840,,,,,401677302,,
"66978",66978,Mk10,DS,1,0,0,,,10:49:31 03-May-2014,R,B,61.84638977,-178.00389099,,,,,401677298,,
"66978",66978,Mk10,DS,5,0,0,111,89,00:12:56 04-May-2014,A,3,61.85027695,-177.87110901,,,,,401677263,,
"66978",66978,Mk10,DS,4,0,0,118,89,00:35:56 04-May-2014,N,2,61.85610962,-177.86805725,,,,,401677257,,
