DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"39498",39498,Mk10,DS,4,0,1,90,90,00:48:08 30-Apr-2014,K,1,61.01750183,-178.37583923,,,,,401677417,,
"39498",39498,Mk10,DS,1,0,0,,,00:48:53 30-Apr-2014,B,B,61.01666641,-178.37222290,,,,,401677413,,
"39498",39498,Mk10,DS,6,0,0,90,90,01:24:08 30-Apr-2014,N,2,61.01416779,-178.47694397,,,,,401677357,,
"39498",39498,Mk10,DS,2,0,1,90,90,01:36:08 30-Apr-2014,A,B,61.01472092,-178.48693848,,,,,401677357,,
"39498",39498,Mk10,DS,8,0,1,360,90,01:51:08 30-Apr-2014,P,2,61.01777649,-178.50054932,,,,,401677351,,
"39498",39498,Mk10,DS,7,0,0,90,90,03:06:53 30-Apr-2014,N,2,61.04000092,-178.51666260,,,,,401677361,,
"39498",39498,Mk10,DS,8,0,2,90,90,04:07:38 30-Apr-2014,K,3,61.05694580,-178.55194092,,,,,401677360,,
"39498",39498,Mk10,DS,1,0,0,,,04:48:53 30-Apr-2014,N,B,61.05194473,-178.58027649,,,,,401677370,,
"39498",39498,Mk10,DS,4,0,2,90,90,05:49:38 30-Apr-2014,R,2,61.08805466,-178.57194519,,,,,401677385,,
"39498",39498,Mk10,DS,2,0,1,90,90,05:49:38 30-Apr-2014,K,B,61.06111145,-178.62666321,,,,,401677402,,
"39498",39498,Mk10,DS,3,0,3,253,46,07:28:32 30-Apr-2014,R,A,61.10722351,-178.62110901,,,,,401677441,,
"39498",39498,Mk10,DS,5,0,2,126,45,08:08:37 30-Apr-2014,A,1,61.10833359,-178.65083313,,,,,401677451,,
"39498",39498,Mk10,DS,6,0,2,115,45,08:48:53 30-Apr-2014,L,2,61.12805557,-178.56443787,,,,,401677457,,
"39498",39498,Mk10,DS,4,0,2,131,45,09:05:45 30-Apr-2014,R,1,61.12166595,-178.57888794,,,,,401677460,,
"39498",39498,Mk10,DS,2,0,0,115,115,09:06:32 30-Apr-2014,B,B,61.13472366,-178.62249756,,,,,401677451,,
